Table 1
SOUTHERN POWER DISTRIBUTION COMPANY OF TS LIMITED,,,,,,,,,,,,
,,,,,,,,,,,,
EXPENDITURE REPORT ON COMMERCIAL MATTERS CASES OF CYBERCITY DURING THIS(DEC-23) MONTH,,,,,,,,,,,,
Sl.No,Case Type,Case Number,Case Year,Case ID,EXPENDITURE,,,,,,,
,,,,,Advocate Fee,Court Expenses,Cost,Fine,Compensation,Disposed Fee,Recovery,TOTAL
114,WP,23417/2023,2023,202328571,,,,,,,,
115,WP,13036/2018,2018,201919281,,,,,,,,
116,WP,6845/2019,2019,201920178,,,,,,,,
117,WP,5131/2019,2019,201919819,,,,,,,,
118,WP,45713/2022,2022,202225059,,,,,,,,
119,WP,25681/2018,2018,201919193,,,,,,,,
120,WP,13049/2021,2021,202122330,,,,,,,,
121,WP,12211/2019,2019,201920096,,,,,,,,
122,WP,26400/2023,2023,202328757,,,,,,,,
123,WP,23429/2023,2023,202328568,,,,,,,,
124,WP,6194/2018,2018,201919288,,,,,,,,
125,WP,25724/2023,2023,202328695,,,,,,,,
126,CC,30/2013,2013,201516179,,,,,,,,
127,WP,15955/2017,2017,201919224,,,,,,,,
128,WP,31170/2023,2023,202328912,,,,,,,,
129,WP,28918/2023,2023,202328833,,,,,,,,
130,WP,30010/2022,2022,202224697,,,,,,,,
131,WP,2640/2021,2021,202121851,,,,,,,,
132,WP,3247/2021,2021,202121855,,,,,,,,
133,WP,13529/2014,2014,202328844,,,,,,,,
134,WP,37960/2021,2021,202222929,,,,,,,,
135,WP,17639/2021,2021,202122530,,,,,,,,
136,WP,29110/2023,2023,202328850,,,,,,,,
137,WP,25088/2023,2023,202328680,,,,,,,,
138,WP,15953/2018,2018,201919248,,,,,,,,
139,WP,28977/2023,2023,202328840,,,,,,,,
140,WP,22070/2018,2018,201919367,,,,,,,,
141,WP,29782/2023,2023,202328857,,,,,,,,
142,WP,24519/2021,2021,202122442,,,,,,,,
143,WP,28592/2019,2019,201920257,,,,,,,,
144,WP,37455/2012,2012,201515261,,,,,,,,
145,WP,32745/2023,2023,202329011,,,,,,,,
146,WP,5709/2022,2022,202223058,,,,,,,,
147,WP,22849/2018,2018,201919265,,,,,,,,
148,WP,4173/2018,2018,201818716,,,,,,,,
149,WP,32945/2022,2022,202224754,,,,,,,,
150,WP,4022/2016,2016,201617625,,,,,,,,
151,WP,15554/2019,2019,201920141,,,,,,,,
152,WP,13371/2021,2021,202122332,,,,,,,,
153,WP,12556/2021,2021,202122030,,,,,,,,
154,WP,18881/2018,2018,201919334,,,,,,,,
155,WP,15253/2023,2023,202328265,,,,,,,,
156,WP,16153/2019,2019,201920117,,,,,,,,
157,WP,13618/2018,2018,201919210,,,,,,,,
158,WP,31380/2023,2023,202328952,,,,,,,,
