Table 1
SOUTHERN POWER DISTRIBUTION COMPANY OF TS LIMITED,,,,,,,,,,,,
,,,,,,,,,,,,
EXPENDITURE REPORT ON COMMERCIAL MATTERS CASES OF SE/IPC DURING THIS(DEC-23) MONTH,,,,,,,,,,,,
Sl.No,Case Type,Case Number,Case Year,Case ID,EXPENDITURE,,,,,,,
,,,,,Advocate Fee,Court Expenses,Cost,Fine,Compensation,Disposed Fee,Recovery,TOTAL
114,WP,38420/2015,2015,201617344,,,,,,,,
115,WP,33965/2016,2016,201718084,,,,,,,,
116,WP,35752/2021,2021,202122745,,,,,,,,
117,WP,24452/2013,2013,201516089,,,,,,,,
118,WP,21192,2004,201513869,,,,,,,,
119,WP,1693/2018,2018,201818628,,,,,,,,
120,WP,1067/2020,2020,202020334,,,,,,,,
121,WP,2898/2021,2021,202121795,,,,,,,,
122,WP,10405/2018,2018,202328375,,,,,,,,
123,WP,10077/2015,2015,201516112,,,,,,,,
124,WP,40611/2015,2015,201616846,,,,,,,,
125,WP,10144/2004,2004,201515077,,,,,,,,
126,WP,5930/2015,2015,201515495,,,,,,,,
127,WP,28256/2019,2019,201920240,,,,,,,,
128,WP,2902/2005,2005,201515872,,,,,,,,
129,WP,3008/2005,2005,201516067,,,,,,,,
130,WP,9809/2016,2016,201617701,,,,,,,,
131,WP,14845/2020,2020,202021277,,,,,,,,
132,WP,4226/2005,2005,201516048,,,,,,,,
133,WP,11592/2020,2020,202021006,,,,,,,,
134,CC,1187/2023,2023,202328273,,,,,,,,
135,WP,37744/2015,2015,201516300,,,,,,,,
136,WP,31423/2023,2023,202328949,,,,,,,,
137,WP,11784/2010,2010,201515180,,,,,,,,
138,WP,6726/2010,2010,201616491,,,,,,,,
139,WP,1258/2021,2021,202121755,,,,,,,,
140,WP,16122/2015,2015,201515867,,,,,,,,
141,WP,19560/2018,2018,201818813,,,,,,,,
142,WP,13614/2019,2019,201919954,,,,,,,,
143,WP,16667/2003,2003,201516063,,,,,,,,
144,WP,2025/2023,2023,202327643,,,,,,,,
145,WP,30950,2014,201514642,,,,,,,,
146,WP,9161/2004,2004,201515178,,,,,,,,
147,WP,5171/2020,2020,202020563,,,,,,,,
148,WP,26105/2008,2008,201515862,,,,,,,,
149,WP,29774/2023,2023,202328875,,,,,,,,
150,WP,28782,2014,201514471,,,,,,,,
151,WP,34328/2016,2016,201718086,,,,,,,,
152,WP,689/2020,2020,202020305,,,,,,,,
153,WP,6578/2016,2016,201617587,,,,,,,,
154,WP,29437/2014,2014,201516093,,,,,,,,
155,WP,1804/2014,2014,201617588,,,,,,,,
156,WP,38856/2013,2013,201617592,,,,,,,,
157,WP,9610/2015,2015,201515256,,,,,,,,
158,WP,30270/2014,2014,201516110,,,,,,,,
159,WP,34806,2014,201617395,,,,,,,,
160,WP,29064/2019,2019,202020265,,,,,,,,
161,WP,26580/2022,2022,202224609,,,,,,,,
162,WP,29961/2022,2022,202224694,,,,,,,,
163,WP,2633/2020,2020,202020423,,,,,,,,
164,WP,37775/2015,2015,201616847,,,,,,,,
165,WP,26189/2019,2019,201920243,,,,,,,,
166,WP,4715/2016,2016,201617695,,,,,,,,
167,WP,37735/2015,2015,201618006,,,,,,,,
168,WP,38853/2013,2013,201617589,,,,,,,,
169,WP,13007/2017,2017,201718264,,,,,,,,
170,WP,10562/2015,2015,201516326,,,,,,,,
171,WP,8677/2009,2009,201516068,,,,,,,,
172,WP,6947/2014,2014,201515240,,,,,,,,
173,WP,2895/2005,2005,201515111,,,,,,,,
174,WP,33989/2016,2016,201718085,,,,,,,,
175,WP,4227/2005,2005,201516049,,,,,,,,
176,WP,37901/2015,2015,201616850,,,,,,,,
177,WP,5562/2020,2020,202020579,,,,,,,,
178,WP,22915/2020,2020,202021653,,,,,,,,
179,WP,27783/2014,2014,201516111,,,,,,,,
180,WP,34034/2016,2016,201718082,,,,,,,,
181,WP,8392,2015,201514651,,,,,,,,
182,WP,36777/2015,2015,201617269,,,,,,,,
183,WP,37778/2015,2015,201616844,,,,,,,,
184,WP,9158/2004,2004,201616537,,,,,,,,
185,WP,13643/2019,2019,201919951,,,,,,,,
186,WP,365,2014,201514451,,,,,,,,
187,WP,2001,2014,201514624,,,,,,,,
188,WP,35829/2013,2013,201617590,,,,,,,,
189,WP,13456/2019,2019,201919950,,,,,,,,
190,WP,27072/2022,2022,202224621,,,,,,,,
191,WP,10019/2020,2020,202020966,,,,,,,,
192,WP,4233/2009,2009,201516051,,,,,,,,
193,WP,9221/2004,2004,201616538,,,,,,,,
194,WP,3961,2015,201514142,,,,,,,,
195,WP,38159,2013,201514447,,,,,,,,
196,WP,2137/2016,2016,201617597,,,,,,,,
197,WP,3258/2020,2020,202020431,,,,,,,,
198,WP,18712/2020,2020,202021462,,,,,,,,
199,WP,37742/2015,2015,201616845,,,,,,,,
200,WP,3524/2020,2020,202020444,,,,,,,,
201,WP,1792,2014,201514622,,,,,,,,
202,WP,7808/2015,2015,201617704,,,,,,,,
203,WP,34481/2016,2016,201718087,,,,,,,,
204,WP,33551/2016,2016,201617865,,,,,,,,
205,WP,29914/2023,2023,202328871,,,,,,,,
206,CC,1766/2015,2015,201718139,,,,,,,,
207,OS,Nov-07,2007,201818771,,,,,,,,
208,WP,2668/2016,2016,201617594,,,,,,,,
209,WP,33402/2010,2010,202327822,,,,,,,,
