Table 1
SOUTHERN POWER DISTRIBUTION COMPANY OF TS LIMITED,,,,,,,,,,,,
,,,,,,,,,,,,
EXPENDITURE REPORT ON COMMERCIAL MATTERS CASES OF HABSIGUDA DURING THIS(DEC-23) MONTH,,,,,,,,,,,,
Sl.No,Case Type,Case Number,Case Year,Case ID,EXPENDITURE,,,,,,,
,,,,,Advocate Fee,Court Expenses,Cost,Fine,Compensation,Disposed Fee,Recovery,TOTAL
116,WP,10728/2019,2019,201919944,,,,,,,,
117,WP,8500/2001,2001,201617519,,,,,,,,
118,WP,20835/1994,1994,201617542,,,,,,,,
119,WP,20262,2013,201513993,,,,,,,,
120,WA,814/2009,2009,201617823,,,,,,,,
121,WP,6808,2000,201513958,,,,,,,,
122,WA,155,2009,201514007,,,,,,,,
123,WP,27259/2022,2022,202224613,,,,,,,,
124,WP,30848/2021,2021,202122601,,,,,,,,
125,WP,26279,2005,201513984,,,,,,,,
126,WP,5103,2005,201514019,,,,,,,,
127,WP,25651/2005,2005,201617226,,,,,,,,
128,WP,3984/2017,2017,201718124,,,,,,,,
129,WP,39881/2015,2015,201516263,,,,,,,,
130,WP,20613/2005,2005,201617418,,,,,,,,
131,WP,11932/2021,2021,202122017,,,,,,,,
132,WP,28978/2023,2023,202328865,,,,,,,,
133,WP,1600/2001,2001,201617328,,,,,,,,
134,WP,4841/2020,2020,202020539,,,,,,,,
135,F.A.,973/2022,2022,202327817,,,,,,,,
136,WA,66/2009,2009,201617824,,,,,,,,
137,WP,16118/2001,2001,201617312,,,,,,,,
138,OS,729/2007,2007,201617551,,,,,,,,
139,WP,31767,2011,201513967,,,,,,,,
140,WP,4944/2023,2023,202327782,,,,,,,,
141,WP,33150,2014,201515016,,,,,,,,
142,OS,786/2004,2004,201617553,,,,,,,,
143,HRC,3857,2008,201514786,,,,,,,,
144,WP,16044/1995,1995,201617480,,,,,,,,
145,OS,523/1998,1998,201718272,,,,,,,,
146,WP,598/2023,2023,202327597,,,,,,,,
147,WP,8072/2005,2005,201515478,,,,,,,,
148,WP,629/2001,2001,201617324,,,,,,,,
149,WP,22623/2009,2009,201617541,,,,,,,,
150,WP,24820/2003,2003,201617467,,,,,,,,
151,WP,3498/2000,2000,201617481,,,,,,,,
152,WP,24936,2009,201513961,,,,,,,,
153,WP,27155,2015,201514774,,,,,,,,
154,WP,10954/2004,2004,201617441,,,,,,,,
155,WP,18448/2006,2006,201515237,,,,,,,,
156,WP,12415/2019,2019,201919795,,,,,,,,
157,WP,35243/2021,2021,202122707,,,,,,,,
158,WP,19696/2003,2003,201617455,,,,,,,,
159,WP,26848/2022,2022,202224617,,,,,,,,
160,WP,40309/2015,2015,201516303,,,,,,,,
161,WP,10868/2017,2017,201718220,,,,,,,,
162,WP,2271/2020,2020,202020681,,,,,,,,
163,WP,27145/2022,2022,202224620,,,,,,,,
164,OS,806/2007,2007,201513327,,,,,,,,
165,CC,2015/2023,2023,202328699,,,,,,,,
166,WP,8925/2005,2005,201515588,,,,,,,,
167,WP,18641/2022,2022,202224347,,,,,,,,
168,WA,922/2008,2008,201617821,,,,,,,,
169,AS,108/2010,2010,201617786,,,,,,,,
170,WP,19494/2017,2017,201718450,,,,,,,,
171,WP,9925/2020,2020,202020946,,,,,,,,
172,WP,33089/2021,2021,202122653,,,,,,,,
173,WP,26324/2005,2005,201617460,,,,,,,,
174,WP,13812/2005,2005,201617230,,,,,,,,
175,WP,18201/2006,2006,201515176,,,,,,,,
176,OS,785/2004,2004,201617550,,,,,,,,
177,WP,2241/2020,2020,202020397,,,,,,,,
178,WP,23271/2004,2004,201515089,,,,,,,,
179,WP,11143/2013,2013,201617271,,,,,,,,
180,WP,13012/2003,2003,201617378,,,,,,,,
181,WP,25431/2009,2009,201515115,,,,,,,,
182,WP,2527/2019,2019,201919718,,,,,,,,
183,WP,26513,2008,201514021,,,,,,,,
184,WP,413/2009,2009,201515106,,,,,,,,
185,WP,20753/2002,2002,201617382,,,,,,,,
186,WP,18828/2017,2017,201718400,,,,,,,,
187,WP,13822/2022,2022,202224203,,,,,,,,
188,LOK,182/2020,2020,202021561,,,,,,,,
189,WP,4013/2005,2005,201515467,,,,,,,,
190,WP,26643/2021,2021,202122480,,,,,,,,
191,WP,11564/2023,2023,202328090,,,,,,,,
192,WP,26680,2009,201514049,,,,,,,,
193,WP,10113/2002,2002,201617749,,,,,,,,
194,WP,20850/2022,2022,202224384,,,,,,,,
195,WP,7533/2017,2017,201718219,,,,,,,,
196,WP,17325/2020,2020,202021409,,,,,,,,
197,WP,10680/2017,2017,201718199,,,,,,,,
198,WP,20330/2020,2020,202021551,,,,,,,,
199,WP,13947/2022,2022,202224204,,,,,,,,
200,WP,40090/2015,2015,201617167,,,,,,,,
201,WP,5380/2007,2007,201617433,,,,,,,,
202,WP,23482/2020,2020,202021705,,,,,,,,
203,WP,4324/2016,2016,201617393,,,,,,,,
204,AS,104/2010,2010,201617765,,,,,,,,
205,WP,21690/2005,2005,201617273,,,,,,,,
206,WP,6504/2003,2003,201617735,,,,,,,,
207,WP,11590/2004,2004,201617540,,,,,,,,
208,WP,13808/2022,2022,202224250,,,,,,,,
209,WP,19644,2012,201514023,,,,,,,,
210,WP,27221/2006,2006,201515221,,,,,,,,
211,WP,4784/2004,2004,201617549,,,,,,,,
212,WP,18984/2017,2017,201718401,,,,,,,,
213,WP,5579/2009,2009,201515120,,,,,,,,
214,WP,32773/2018,2018,201919697,,,,,,,,
215,WP,8698/2022,2022,202223136,,,,,,,,
216,WP,39883/2015,2015,201516264,,,,,,,,
217,WP,18647/2020,2020,202021679,,,,,,,,
218,WP,20330/2019,2019,201919931,,,,,,,,
219,WP,16032/2020,2020,202021356,,,,,,,,
220,WP,9307/2022,2022,202224142,,,,,,,,
221,WP,1670/2016,2016,201617168,,,,,,,,
222,WP,8796/2001,2001,201617754,,,,,,,,
223,WP,13380/2021,2021,202122333,,,,,,,,
224,WP,31311,2011,201513969,,,,,,,,
